comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_likes
beliau cakap dengan fakta. Layak menjadi PM selepas Anwar Ibrahim. Sokong PH untuk lihat Malaysia bangkit dan lebih maju! 💪🏼,@kakmin_my,Merah∆15 ,3,0,2022-11-17,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
"syed saddiq, nurul izzah, kj and the best is dsai",@city0fsunshine,N S u r i🔺 ,0,0,2022-11-17,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
Yesss Rafizi,@cikyue1,Dapur Cik Yue ,0,0,2022-11-17,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
ye betul,@arzu7711,atiya ,0,0,2022-11-17,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
He is also a chartered accountant. A good choice as menteri kewangan for our country,@nopfp__,(˵◕ ʚ ◕˵✿) ,0,0,2022-11-17,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
"saya sangat kagum dengan keupayaan luar biasa Rafizi Ramli, rakyat perlu belajar dengan Rafizi",@phvnk99,vnk ,1,0,2022-11-16,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
tu pandangan u,@nikeaida2005,Nike Aida ,0,0,2022-11-16,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
Memang benar Bro cakap 💪🏻💪🏻💪🏻👍🏻👍🏻👍🏻,@apbt3944,apbt3944ralph ,0,0,2022-11-16,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
Sokong,@www.mdzam88,Zam aircool ,0,0,2022-11-16,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
kj plees,@bestbi1995,Bestbi1995 ,0,0,2022-11-16,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
Rafizi terbaik,@sididembisidid,sididembisidid ,0,0,2022-11-16,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
sokong2,@fanho77,Fan Ho ,1,0,2022-11-16,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
@ betul bang ulasan mu..,@chanthran_jaya,chanthran_jaya ,2,0,2022-11-16,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
Kata hang😁😁😁,@user5860795654454,user5860795654454 ,0,0,2022-11-16,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
berpengaruh time nak pilihanraya lepastu senyap. 5 tahun sekali baru nampak muka🤣🤣,@mamadijah1,mamadijah1 ,1,0,2022-11-16,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
"betul atau tidak , belakang cite ...😂 siap2 la",@dannaddy,dannaddy ,1,0,2022-11-16,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
Sokong ph kali ini 💚,@kpoplegendary,Kpop Legendary ,2,0,2022-11-16,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
KJ dan azmin,@broharry_co,Broharry ,0,0,2022-11-16,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
vote for syahir sulaiman. background hebat,@shaleezha,Shalee ,0,0,2022-11-16,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
ye setuju2,@zaronidesa,zaroni - kak oni ,1,0,2022-11-16,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
org cerdik akan ikut org cerdik demi negara😂,@mhdnizam2201,Mhd Nizam ,0,0,2022-11-16,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
Yes Fafizi memang bijak,@zms021264,zms021264 ,0,0,2022-11-16,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
vote ph,@jamalisamingan,JamaliS ,0,0,2022-11-16,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
Bagus tapi asyik menghilang so aku pun hilang kepercayaan Hahaha,@yummy_nami,Fariz Nazmi ⚡️ ,1,0,2022-11-16,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
muncul 5 tahun skali..tengok lah lepas pru hilang lagi,@wakbijokmu,ZAN ,0,0,2022-11-16,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
"KJ, Ss,Dato' Joe,",@kasturi3036,kasturi36 ,0,0,2022-11-16,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
Rafizi terbaik selepas DSai..,@karlmarx4820,KarLMarX4820 ,1,0,2022-11-16,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
dia yg terbaik selepas DSAI,@nrfarahizzati0,nrfarahizzati0 ,1,0,2022-11-15,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
Sanusi.MB Kedah lak bang.,@ammarsyahiran14,AmmarSyahiran ,1,0,2022-11-15,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
🥰true,@predecessor.mz,Munawwarah Zaidi ,0,0,2022-11-15,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
PH ada ramai anak muda berwibawa,@lynnlagend,lynnlagend ,0,0,2022-11-15,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
