comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_likes
Padam muke piji,@fahimnanasmd2,TanamSayur ,0,0,5d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
Sampai bila2 pun Rafizi takkan dapat nak tandingi Azmin,@jonibravos,JoniBravos ,0,0,5d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
PH KAKI KENCING,@kayyariffin,Kayy Ariffin ,0,0,5d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
ini kan yg macai ph nak..skg rasa kan la,@eijaldotdot,insan🔛biasa✅ ,0,0,5d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
rafizi kan! mulut macam perempuan.😂😂😂😂😂,@zarifadman,ZarifAdman ,0,0,5d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
piji oh piji,@godeng28,godeng28 ,0,0,5d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
"Jika kerajaan ini jatuh, rakyat tahu tin kosong adalah punca nya. Mohon YAB PM review kedudukan Menteri tidak berfungsi ini.",@dksbi61,DKSBI61 ,0,0,5d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
Korang yg pilih dia pastu korang nk ganyang dia... Dia x salah.. Yg salah korang yg undi dia. Sekian 😅,@yied_20,Longkaimelayu20 ,0,0,5d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
"Pakar Ekonomi,Pakar boikot, Heeeee**aku senyum tengok tepi je lah..Yg nk diboikot tu kedai sape?Rakyat gaj.Mandat kuasa spe bagi?Rakyat gak 😂 okeybai",@bucksterbuck25,bakrihamza ,0,0,5d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
geng putaq belit.....tengk muka pun x lh belah dah...muka putaq belit,@mohdshahril3667,mohdshahril3667 ,0,0,5d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
"x leh pakai dah ph ni, apa lagi kwn dgn geng2 sakau!!
jom pakat support PN!",@tengkekriang,BatuKikir ,0,0,5d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
Tapi tak seSAMPAH abdulhadiwangfuluss dan mahiaddinyasinpalsu,@rotibutterbakar,Sultan PengKedekut 👑 ,0,0,6d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
"awal2 dulu pun tau kencing, pastu suka sangat kene kencing eh korg pegi pangkah lagi😅",@azimatmusica,Azimat Muzika ,0,0,6d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
yg kutuk Rafizi hanya lh walauun PAS/PN biawak shj..org ph x pun..😂😂😂😂😂🤣🤣🤣,@abeza123456789,Abe Za ,0,0,6d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
lagu PH dh menunjuk kn PH (parti haprak)😅😅😂.....HOI HOI YAA HOI😅😅,@papalazorazib,papalazorazib ,0,0,6d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
dr dulu kami tahu..penyokong ph je masih cerdik sokong org cerdik😂😂😂ph parti helah..,@norfaiezahmohdyusof,faiezah ,0,0,6d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
mana budak2 ph xnk msuk komen ke..,@hafiz_cempleng,HAFIZ CEMPLENG ,0,0,6d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
"hancing ke, haha tnye jea KERANA suka Di kncing habis smua rakyat kena bahana,,,,",@saifulamir062,Saiful Petir ,0,0,6d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
tu pun percaya kat Rafizi😂,@muhdasyraf928,asyraf8922 ,0,0,6d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
"Bagus jugak bagi diorang menang, selagi xmenang cai2 semua dok cakap diorang bagus",@user5606214311139,Boy ,0,0,6d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
"mujur PH jd kerajaan
klu PN lg jahanam ekonomi malaysia telur takde minyak masak mahal 42.90 sebotol 5kg",@khairulanuaridris,khairulanuaridris ,0,0,6d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
yang cerca netizen PN aja😅😅 kami penyokong PH ok aja sbb tahu nak bentuk kerajaan kena bersama BN dan lain2 ..,@mank1965,Man K7647 ,0,0,6d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
Dia hebat jadi pembekang sebab pakai air liur aje..😂,@alos7720,Alos2022 ,0,0,6d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
kaki cucuk paling hampehh formula 1 pun tak bole pakai ..ppuuuiii,@kellyyani3,kellyyani3 ,0,0,6d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
Yg penting Menteri kaki rasuah x pegang negara lagi bahaya,@khairul_shafee,Mh Khairul Shafee ,0,0,1w ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
Menteri paling teruk. 😁,@rojackwan6,rojackwan6 ,0,0,1w ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
relex la baru sebulan sy tgh joget nie.. pengundi rafizi okay ke tu..,@bethe1red,bethe1red ,0,0,1w ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
mne penyokong n pengundi pH...mucul jp aku nk tgok...😂😂😂😂,@rozii1990,rozi ,0,0,1w ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
ingat menteri pormula...rupa²nya mentiri pasola😂,@adidah1972,abah72 ,0,0,1w ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
YB paling sampah yg wujud dalam malaysia.. Piji,@waan_fx,WAAN  FX 📉 ,1,0,1w ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
maaf salah tu yg ganyang hnya tak sokong Ph. pykong Ph masih syg dia. 😅,@eryphotographer,Eryphotographer ,0,0,1w ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
"piji hebat???
bila masa piji hebat?
penghancur negara ada laaa",@yaadam73,Yaadam73 ,0,0,1w ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
kami nak pulau kedai makan....rafizi sedang tabur kencing,@eazman,eazman ,0,0,1w ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
abg pun jgn dok bom kami pulak stg tgk jdy mcm rafizi,@abgleh,abg leh ,0,0,1w ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
otak formula dia hanya bole di pakai waktu jd pembangkang.. bila da jd kerajaan.. otaknya sudah hilang😂😂😂,@azmanshah92,💥🇲 🇦 🇳  🇨 🇦 🇰 🇴 🇮 💥 ,0,0,1w ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
