tiktok_link,tiktok_description,tiktok_hashtag,Username,Views,posted_date,extracted_date
https://www.tiktok.com/@malaysiatimes/video/7122438148877028634,Kerajaan seharusnya utama kan kes ini kerana ia melibatkan kedaulatan negara. Mengapa speaker tolak usul yg dibawa utk dibahaskan di dalam parlimen? 😏 #AnwarIbrahim #R eformasi #K ongres16 #A miruddinShaari #A damAdli #K ongresKeadilan #A thonyLoke #N urulIzzahAnwar #K amilMunim #D rDzul #R afiziRamli #K eadilanRakyat #K eadilan #P KR #P akatanHarapan #A yuhMalaysia #S eangkatan #f yp #f oryourpage ,#AnwarIbrahim #R #K #A #A #K #A #N #K #D #R #K #K #P #P #A #S #f #f,malaysiatimes,170.7K,2022-7-20,2023-01-30
https://www.tiktok.com/@rafiziramli/video/7166131040245910786,Kempen PRU15 setakat ini.,#,rafiziramli,117.1K,2022-11-15,2023-01-30
https://www.tiktok.com/@gopalakrishnan_ybg/video/7075244924161117466,WELCOME BACK RR 🇲🇾🔥 #fyp  #prnjohor  #reformasi  #tiktokviraljohor  #pkr  #tiktokviral  #rafiziramli  #nurulizzahanwar ,#fyp #prnjohor #reformasi #tiktokviraljohor #pkr #tiktokviral #rafiziramli #nurulizzahanwar,gopalakrishnan_ybg,42.6K,2022-3-15,2023-01-30
https://www.tiktok.com/@rafiziramli/video/7160524741428661505,Penyelesaian Gaji Rakyat.,#,rafiziramli,180.6K,2022-10-31,2023-01-30
https://www.tiktok.com/@jason.yew/video/7121257687744056602,"Rafizi datang bagi panadol, hilang pening saya #KongresKEADILAN  #DSAI  #anwaribrahim  #reformasi  #nadirakyat  #rafiziramli  #KEADILAN  #PKR  #KEADILANuntukSemua  #foryou ",#KongresKEADILAN #DSAI #anwaribrahim #reformasi #nadirakyat #rafiziramli #KEADILAN #PKR #KEADILANuntukSemua #foryou,jason.yew,396.2K,2022-7-17,2023-01-30
https://www.tiktok.com/@malaysiatimes/video/7114371965451816219,Rakyat harus berhati hati dan tidak termakan serta terpengaruh dgn sentimen perkauman yg digunakan oleh UMNo/BN #AnwarIbrahim # Reformasi # AthonyLoke # NurulIzzahAnwar # KamilMunim # DrDzul # RafiziRamli#A damAdli # KeadilanRakyat # Keadilan # PKR # PakatanHarapan # AyuhMalaysia # Seangkatan # fyp # foryourpage ,#AnwarIbrahim #A,malaysiatimes,1M,2022-6-29,2023-01-30
https://www.tiktok.com/@jason.yew/video/7116705143038561563,Gabungan DSAI-RR dapat memenangi PRU15 #DSAI  #anwaribrahim  #reformasi  #nadirakyat  #rafiziramli  #yakinirakyat  #ayuhmalaysia  #PRU15  #foryou ,#DSAI #anwaribrahim #reformasi #nadirakyat #rafiziramli #yakinirakyat #ayuhmalaysia #PRU15 #foryou,jason.yew,43.1K,2022-7-5,2023-01-30
https://www.tiktok.com/@akmalnasir.my/video/7079620287104355610,Ayuh Malaysia 💪🏼💪🏼 https://ayuhmalaysia.org #ayuhmalaysia  #rafiziramli  #nurulizzah ,#ayuhmalaysia #rafiziramli #nurulizzah,akmalnasir.my,22.9K,2022-3-27,2023-01-30
https://www.tiktok.com/@jason.yew/video/7120952324440345883,"""Rafizi kena tumpu serang musuh"" #KongresKEADILAN  #DSAI  #anwaribrahim  #rafiziramli  #KEADILAN  #PKR  #KEADILANuntukSemua  #foryou ",#KongresKEADILAN #DSAI #anwaribrahim #rafiziramli #KEADILAN #PKR #KEADILANuntukSemua #foryou,jason.yew,180.4K,2022-7-16,2023-01-30
https://www.tiktok.com/@malaysiatimes/video/7120590968813817115,Kepimpinan Angkatan Muda Keadilan di bawah pimpinan Saudara Adam Adli 🇲🇾#AdamAdli # AnwarIbrahim # Reformasi # AmiruddinShaari # SaifuddionNasution # AthonyLoke # NurulIzzahAnwar # KamilMunim # DrDzul # RafiziRamli # KeadilanRakyat # Keadilan # PKR # PakatanHarapan # AyuhMalaysia # Seangkatan # fyp # foryourpage ,#AdamAdli,malaysiatimes,450.7K,2022-7-15,2023-01-30
https://www.tiktok.com/@sandrea.ng/video/7035905010470849819,Part 5: Ucapan terakhir #rafiziramli  #Parlimen  #DewanRakyat  #PKR  #keadilanuntuksemua  #adunteja  #SandreaNg  #fypmalaysia🇲🇾 ,#rafiziramli #Parlimen #DewanRakyat #PKR #keadilanuntuksemua #adunteja #SandreaNg #fypmalaysia,sandrea.ng,40K,2021-11-29,2023-01-30
