comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_likes
x caya mana dia ni,@nunanay,nazrihusain ,0,0,2022-11-13,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
mane Ade manger gaji 3.6k je haha...😂😂😂,@abangjddy,AbangJddy ,0,0,2022-11-13,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
Dia ni sanggup jual apa saja asal berjaya,@user3816488087609,user3816488087609 ,0,0,2022-11-13,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
part 2 bos😁,@nordinmangon.com,dapur tok ding🦀🦐🦑 ,0,0,2022-11-13,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
hidup memang jadi kaki spin putar alam..Ramai pulak yg x sedar tu..dok sokong rafizi ni..,@modongseok,modongseok ,0,0,2022-11-13,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
ni org pnggil raja spin . klau dia msuk rm10 mesti cuci lebih tinggi .😂😂,@minato7namikaze4,Minato Namikaze⚡ ,0,0,2022-11-13,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
HAHAHAHAHAHA TOLAK PH,@azriarepz,azriarepz ,2,0,2022-11-13,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
Ahahahah dorang mana berani lawan fakta 😂,@syahmiazln,Syahmiazln ,1,0,2022-11-13,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
"alamakk..kantoii lgiii..
hmmmm..
say no to PH.
undi PERIKATAN NASIONAL..prihatin bersih stabil..no kluster mahkamah 🥰",@rezekisjsinar,RezekiSJ sinar ,1,0,2022-11-13,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
sapa alif ahmad...ni??,@saniedollah,saniedollah ,0,0,2022-11-13,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
dia ckp sethun baru jd manager kn,@afiqdaisuke6,afiq kamarul ,2,0,2022-11-13,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
rafizi kejap kuar politik..nk fokus kt business..kejap msk blk..aku pun dh tak paham dh..tp aku admit dia bkn calang2 org kalu tgk full biog dia..,@neoki99,Neoki ,0,0,2022-11-13,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
bn tetap,@iliasbinhassan,LIAS PUNYOO ,0,0,2022-11-13,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
pm job,@kevin_liman27,Kevin Debuchy ,0,0,2022-11-13,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
"mamat ni ada tengok penjelasan RR tak. RR jelaskan dia jadi manager dengan gaji rm11,000. bukanlah rm3,750 yang dinyatakan mamat ni.",@rooney_84,Red Devil ,1,0,2022-11-13,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
