comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_likes,video_comments,video_shared
30k #kwsp4all,@han.zayn9,Mr.C ,0,0,1d ago ,2023-01-28,5356,288,355
"smoga usaha NGO NGO mana mana smoga bjaya,kami pnuntut kwspbesasar cpat dluluskan,nak tunggu apa lagi Anuwar ibhrim,rkyt dah susah,tlg jgn pekak👂",@zainizai547,zainizai547🌻🌻🌻 ,1,0,1d ago ,2023-01-28,5356,288,355
semoga berjaya,@shahrizadomar87,Shahrizad Omar87 ,0,0,1d ago ,2023-01-28,5356,288,355
tolong luluskan kwsp 2.0 10k 30k,@arendasahar_,arendasahar_ ,0,0,1d ago ,2023-01-28,5356,288,355
hadir,@izansurizan59,Izan Surizan59 ,0,0,1d ago ,2023-01-28,5356,288,355
Moga dipermudahkan,@mirzajihah15,Mirzajihah15 ,0,0,1d ago ,2023-01-28,5356,288,355
"turun ke jln je,",@fauzisulong8,Fauzi Sulong9457 ,1,0,1d ago ,2023-01-28,5356,288,355
tolonglah permudahkan urusan rakyat 🥺🥺,@izqmil,izmilizmail ,3,0,1d ago ,2023-01-28,5356,288,355
berita baik saja 😅,@wanaisah405,Wan Aisah405 ,0,0,1d ago ,2023-01-28,5356,288,355
PM10 lambat dlm menyelesaikan kemelut KWSP.2.0,@azurahasimhasim,Azura Hasim ,1,0,1d ago ,2023-01-28,5356,288,355
😭😭😭 tolong luluskan kwsp masa ini rakyat susah ini yg Allah yg Allah Allah yg tau,@allaudinbin,Allaudin Bin ,0,0,1d ago ,2023-01-28,5356,288,355
"sudah la,",@user2384240256554,ammir ,0,0,1d ago ,2023-01-28,5356,288,355
sampai mcmni sekali,@zalehayassin,Zaleha Yassin ,0,0,1d ago ,2023-01-28,5356,288,355
Semoga kwsp 2.0 dapat diluluskan dalam Kadar segera sebab ramai pencarum yg amat memerlukan,@lieyaumar,Norlia umar ,2,0,1d ago ,2023-01-28,5356,288,355
"Kami sentiasa tunggu update terkini,harap sangat dapat info berkenaan kwsp diluluskan dgn segera,amin",@effa_ahnaf,Effa_Ahnaf ,0,0,1d ago ,2023-01-28,5356,288,355
semoga di hari yg baik ini ada berita gembira buat semua pencarum..semoga Allah permudahkan segala urusan..,@aleena.sofea,Sofea ,0,0,1d ago ,2023-01-28,5356,288,355
permudahkanlah Dan luluskan lah dgn segera.. kami sangat sesak🥺,@cookiesnurul85,Nurul Huda Hanafi ,1,0,1d ago ,2023-01-28,5356,288,355
