comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_likes,video_comments,video_shared
mintak² lulus la,@aarbullet2,Aar Bullet😉 ,2,0,1d ago ,2023-01-28,29K,1243,2799
dah bleh isi dlm link dhke???bgithu sorang,@m.amiasraf,m.amiasraf ,0,0,1d ago ,2023-01-28,29K,1243,2799
"Bkn utk enjoy,byk komitmen yg nk dilunaskan..yg senasib jer memahami...#kwsp bersasar",@atieee69,atieee_😘 ,1,0,1d ago ,2023-01-28,29K,1243,2799
harap dilulusakn pengeluaran kwsp ini,@haslizah1978,haslizah ,3,0,1d ago ,2023-01-28,29K,1243,2799
"desak ...
mari smua",@iqwansah,IrwanN ,2,0,1d ago ,2023-01-28,29K,1243,2799
harap dapatlah lulus nak settle ctos belambak 😵‍💫😵‍💫,@mayang_sari447,Mayang Sari ,3,0,1d ago ,2023-01-28,29K,1243,2799
30k one off,@hadzmuleehardee,hadzmuleehardee ,1,0,1d ago ,2023-01-28,29K,1243,2799
btl ke x blh ni,@atien_ieza,Atien ,0,0,1d ago ,2023-01-28,29K,1243,2799
cepat lulus kn kwsp 2.0 ni,@nornor4580,nornor4580 ,2,0,1d ago ,2023-01-28,29K,1243,2799
bila la bleh lulus ni,@onie1005,onie ,1,0,1d ago ,2023-01-28,29K,1243,2799
Smga dipemudhkn sgla ursn..smga ada rzki bt kami smua...aminn,@namarlina281,namarlina281 ,2,0,1d ago ,2023-01-28,29K,1243,2799
Dh boleh kluarkn ke?,@samscrooz,Sam ,0,0,1d ago ,2023-01-28,29K,1243,2799
ini betul2 sudah ka 🥺,@susanadeline3696,🍀𝓢𝓾𝓼𝓪𝓷 𝓐𝓭𝓮𝓵𝓲𝓷𝓮🍀 ,0,0,1d ago ,2023-01-28,29K,1243,2799
wahai duit ku yang lama tersimpan di kerajaan balik lah kepada ku .sekarang ni aku sangat memerlukan mu .😿,@apai_limping,Apai_Limping ,2,0,1d ago ,2023-01-28,29K,1243,2799
Malas nak kata banyak...lulus je benda pertama aku buat buat hutang bank terus😅 jenuh pikir cara,@mniz_9,MNIZ⚡🇲🇾 ,4,0,1d ago ,2023-01-28,29K,1243,2799
sokong2.duit hasil titik peluh rakyat tu,@vionaariesina,Vionaaries Ina ,1,0,1d ago ,2023-01-28,29K,1243,2799
hrp betul2 lulusla bg semua pihak...jgnla yg terhad je sbb sy dgr untuk yg nak langsaikan hutang je dipertimbangkan...jgnla mc tu,@zitiee4,tie ,3,0,1d ago ,2023-01-28,29K,1243,2799
primer minister skrg pendendam ke .hak rakyat nK undi .mcm mn pun kesusahan rakyat kena utamakan..kwsp sikit ke byk Tu duit caruman kami!!,@izahasrah,za🇲🇾 ,2,0,1d ago ,2023-01-28,29K,1243,2799
Holle gd morning. Dh blh keluar ke😁😁,@omemymel,melmmey ,0,0,1d ago ,2023-01-28,29K,1243,2799
spa hilang pekerjaan boleh buat kluaq KWSP 20k 30k tu bru btul kalau ada undang-undang CM ni kan best 😄,@zulhafizzulzul,ZulhafizZulZul ,1,0,1d ago ,2023-01-28,29K,1243,2799
sokong 500/100..👍👍👍✌️🤗,@anginbayumalam2,anginbayumalam2kun faya kun ,1,0,1d ago ,2023-01-28,29K,1243,2799
Tua aku nunggu,@thonytokbha,Thony Tok Bha ,0,0,1d ago ,2023-01-28,29K,1243,2799
"bukan sekarang. mungkin kalau ada , dekat Raya",@cjyap6,CJ Yap ,0,0,1d ago ,2023-01-28,29K,1243,2799
30k apa nya..dlm kwsp ad 2k je😂😂😂😂,@zainal1331,Pok Zainal ,0,0,1d ago ,2023-01-28,29K,1243,2799
brapa pun yg ada.. jnji Onz kan jaaa.. Mmg memerlukn sgt2..,@qasehmalaika78,Qaseh Malaika ,0,0,1d ago ,2023-01-28,29K,1243,2799
30k - 50k one off.. 🥰🥰,@jue_raihana,jue_raihana ,1,0,1d ago ,2023-01-28,29K,1243,2799
"aku berharap kwsp boleh bg keluar akun 2
sbb aku nk bt rmh hampa tau kan mcm mn laa sewa umah ..",@ainadie,Ainadie Bini Bang570 ,0,0,1d ago ,2023-01-28,29K,1243,2799
mintak dgn halus pun dia buat x thu je,@ahmadnorirfan6115237,Ahmad Nor545 ,0,0,1d ago ,2023-01-28,29K,1243,2799
mcm mmpi😁,@boyajak,BoyAjak II ,0,0,1d ago ,2023-01-28,29K,1243,2799
smoga dpermudahkn Amin 🤲,@kycham210121,Kycham ,0,0,1d ago ,2023-01-28,29K,1243,2799
betul kita desak smpi klur duit kita x kiralah duit dlm tu bnyk ke x,@musangking4461,musangking4461 ,0,0,1d ago ,2023-01-28,29K,1243,2799
ingatkan dapat PM baru boleh dapat dan lulus tapi sebaliknya...,@shahhidanismail66,REYHAN ,0,0,1d ago ,2023-01-28,29K,1243,2799
jagann post tak betuk....kita letih.... post yang betukr🥰,@maxmalysia,Max🇲🇾Max ,1,0,1d ago ,2023-01-28,29K,1243,2799
#50k kami amat memerlukan,@moktien,Atien Firyal ,1,0,1d ago ,2023-01-28,29K,1243,2799
Blh kuar bila tu,@rynazizwan,rynazizwan ,2,0,1d ago ,2023-01-28,29K,1243,2799
lawan tetap lawan,@farizaiijai,Farizai Ijai ,0,0,1d ago ,2023-01-28,29K,1243,2799
"majikan tkbayar duit kwsp , caner ni 😭",@danianajwx,D | N 🫗 ,0,0,1d ago ,2023-01-28,29K,1243,2799
Yang dh hbis be like🗿,@s.n.aishah._,DekAisy👑 ,0,0,1d ago ,2023-01-28,29K,1243,2799
🥰🥰🥰🥰🥰,@amanpieces,amanpiece ,0,0,1d ago ,2023-01-28,29K,1243,2799
Sokong,@acapaien9394,Acapaien9394 ,0,0,1d ago ,2023-01-28,29K,1243,2799
sokong 100%,@deanhak6,Dean Hak ,0,0,1d ago ,2023-01-28,29K,1243,2799
#kwspbersasar,@afizjer,Hafiz S Baharin ,0,0,1d ago ,2023-01-28,29K,1243,2799
press selagi boleh press,@onepull10,Onepull10One ,0,0,1d ago ,2023-01-28,29K,1243,2799
"takboleh... sudah2 la pusing...😂😂 tiap2 hari headline sama, tarikh ja berubahh",@amirulaimanrafi,Amirul Aiman Rafi ,1,0,1d ago ,2023-01-28,29K,1243,2799
