comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_likes,video_comments,video_shared
luluskan lah sy memerlukan duit kwsp,@lienie8,Ramle@Ghani ,0,0,2d ago ,2023-01-28,4361,315,191
"Apa yg pyh sgt,,sy dh smpi bercerai,,,,,, kerajaan nk tanggung ke,,,rkyt dh susah,,,makin susah🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺",@pakjabitrider,Mohd Zizi ,1,0,2d ago ,2023-01-28,4361,315,191
kerajaan sahaja tak pedulikan rakyat,@hzrimen,Mark mung ,3,0,2d ago ,2023-01-28,4361,315,191
alhamdulillah insyaallah taun ni ade umur dapat la keluarkan duit kwsp akaun 2 🥰🥰🥰,@shaharudin_mahmoh73,shaharudin_mahmoh ,0,0,2d ago ,2023-01-28,4361,315,191
betul..,@kumaranresha,Kumaranresha ,0,0,2d ago ,2023-01-28,4361,315,191
yg ada 2 keluarkan laa yg sikit akan nk keluarkn,@anieza78arai7,izaaa arai... ,1,0,2d ago ,2023-01-28,4361,315,191
semoga dipermudahkan KWSP 2.0,@aliza_ami,Aliza Ami ,0,0,2d ago ,2023-01-28,4361,315,191
kwsp kasi keluarlah cepatlah luluskan rakyat memerlukannya,@rimaurimau52,rimaurimau52 ,0,0,2d ago ,2023-01-28,4361,315,191
betul.apa yg kerajaan risaukan.dah darurat nak pakai bayar hutang .dah control gaji .zaman skrg semua duit aje,@mazlin912,mazlin912 ,1,0,2d ago ,2023-01-28,4361,315,191
#kwspbersasar,@joetanjung78,JoeTanjung ,0,0,2d ago ,2023-01-28,4361,315,191
luluskam la,@rohana_190,rohana_190 ,0,0,2d ago ,2023-01-28,4361,315,191
Semoga Allah mudahkan segalanya.. Utk #kwspbersasar50koneoff,@aidamn71,AidaMN ,0,0,2d ago ,2023-01-28,4361,315,191
moga dipermudahkan. luluskanlah #kwspbersasar asal baki cukup,@yietpichaso79,Yiet Pichaso ,0,0,2d ago ,2023-01-28,4361,315,191
Semoga dipermudahkan urusan kite semua.. Amin..,@shasha_olie1424,shasha Olie ,0,0,2d ago ,2023-01-28,4361,315,191
Aamin2 yra..moga dipermudahkan,@azah75nora,kausapa ,0,0,2d ago ,2023-01-28,4361,315,191
