comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_likes,video_comments,video_shared
cqble is real,@ekin.ahmad,Ekin.Ahmad ,0,0,60s ago ,2023-01-30,9455,2343,1063
Elaun xde tp gaji ada😅,@naniarshad1202,Nurhani Arshad ,0,0,1m ago ,2023-01-30,9455,2343,1063
sokong kamu💪,@faezlinda,Faez Linda ,0,0,1m ago ,2023-01-30,9455,2343,1063
"better lantik dato johari kalau tak silap, lg ok ada kelayakkan ada experience dlm ekonomi. please la pmten",@fitri5829,Fitri Faatisya ,0,0,1m ago ,2023-01-30,9455,2343,1063
sblm ni 22bulan..agak2 yg ni bper bulan...,@shukorsellah,muhamadshukor253 ,0,0,2m ago ,2023-01-30,9455,2343,1063
awal awal ja berjanji mcm mcm last last janji tu pun hilang dari ingatan 🤣,@akmaacin,Girl Boss 😎 ,0,0,3m ago ,2023-01-30,9455,2343,1063
terbaik saudara.100℅ sokong😘😘😘,@poleball,user9017797900581 ,0,0,3m ago ,2023-01-30,9455,2343,1063
Krjaan ank brnak ke ni,@denabangsu,ZS shops ,0,0,6m ago ,2023-01-30,9455,2343,1063
"Sampaj skrg harga makin tinggi, pening nak belanja",@norenothman,norenothman ,0,0,7m ago ,2023-01-30,9455,2343,1063
baru faham kroni skrg😂,@aqueiyka,Ms.A ,0,0,7m ago ,2023-01-30,9455,2343,1063
Da mcm drama aku rase,@nayah8080,nayah8080 ,0,0,10m ago ,2023-01-30,9455,2343,1063
mana cai2.. bekap lah😂😂,@boss.wanz,WAN.ZEQ99 ,0,0,12m ago ,2023-01-30,9455,2343,1063
😂😂😂senang kire2 math Suki sakat,@cuciservicekuantan,sevendayunique ,0,0,13m ago ,2023-01-30,9455,2343,1063
Very good point bro,@nathanaru1,Nathanaru  ,0,0,15m ago ,2023-01-30,9455,2343,1063
YDPA sila bersuaraaa,@shairdina_85,mom.of.4 ,0,0,15m ago ,2023-01-30,9455,2343,1063
masalahnya pmx dh buat bnyk perubahan dri seblum ni,@vinz_santai,no name ,1,0,16m ago ,2023-01-30,9455,2343,1063
pkr perjuangkn hak peribadi😂,@meerdaus,Slumber Daus ,2,0,18m ago ,2023-01-30,9455,2343,1063
Tp itu le yg deme pilih. Aku letih dah ni kembong skilo rm23 🤣🤣,@nufathiah,Nurfathiah🌹 ,0,0,18m ago ,2023-01-30,9455,2343,1063
😂😂 mane ph ni,@sepakpale,Gelencos ,0,0,18m ago ,2023-01-30,9455,2343,1063
walanon bersorak gumbira,@zie_yla,Zieyla ,0,0,19m ago ,2023-01-30,9455,2343,1063
Kerajaan keluarga 😁,@cikina_ziyaddci,Zarina Zainordin ,1,0,19m ago ,2023-01-30,9455,2343,1063
entah laa ape nk jadi dgn negaraku ni smoga allah beri hidayah kpd pm amminn yra.,@mohdazhar5593,@mohd azhar ,0,0,25m ago ,2023-01-30,9455,2343,1063
"Lah kalah , kroni anak beranak",@lily786.com,Lily🌺 ,0,0,26m ago ,2023-01-30,9455,2343,1063
"Aku tak kisah siapalh,yg penting buat kerja ,terutama ma63 yg terlaksana",@mantul0077,mantulll ,0,0,26m ago ,2023-01-30,9455,2343,1063
anak abah tengok jee😏,@z_u_z8,taurus_clan ,0,0,26m ago ,2023-01-30,9455,2343,1063
"mungkin dalam pikiran Piyemmm ""kita kena utamakan ahli keluarga dulu, baru bole pikir org lain"" 🥺🥺",@izareel,fiza ,0,0,27m ago ,2023-01-30,9455,2343,1063
ohhh..ok,@juliahmd2979,JuliahMD ,0,0,27m ago ,2023-01-30,9455,2343,1063
Anak papa tetap sokong papa. #KitaSajaBoleh,@ca11mezul,CallMeZUL ,1,0,27m ago ,2023-01-30,9455,2343,1063
mula2 lantik senyap2..dah kantoi cakp x amik gaji😂😂😂😂,@user010191019191,- ,1,0,27m ago ,2023-01-30,9455,2343,1063
Asalkan Anwar...semua boleh brother...Malaysia dia buat mcm bapak dia punya..,@nalzam128,Mohd Mazlan Jusoh ,0,0,28m ago ,2023-01-30,9455,2343,1063
Sepatutnya kena lantik bro @Nazri Hamdan ni sebagai penasihat ekonomi 😁,@zmr_yns,زمري يونس ,0,0,29m ago ,2023-01-30,9455,2343,1063
tak pa..tunggu pru akan datang,@zaroolla,🪴 ,0,0,30m ago ,2023-01-30,9455,2343,1063
lantikan politik is real !,@akuadlhaku,KauTeam ,0,0,35m ago ,2023-01-30,9455,2343,1063
Undilah PH hahahahah,@tacod02,tacodd ,0,0,38m ago ,2023-01-30,9455,2343,1063
aku tak percaya tanpa gaji.semoga allah tunjuk satu² perangai anuar kepada rakyat,@crab2401,crab2401 ,1,0,39m ago ,2023-01-30,9455,2343,1063
mna agong😏,@roshidaelias80,Roshida Shida ,0,0,39m ago ,2023-01-30,9455,2343,1063
Sokong!!,@samz_2904,SAM ,0,0,39m ago ,2023-01-30,9455,2343,1063
Betul2 tu.,@murniii67,murniii67 ,0,0,40m ago ,2023-01-30,9455,2343,1063
aku rasa bnyk penyokong ph yg dlu mnyesal skrg.bru thu perangai sbenarnya,@moskov_headhunter,moskovtiktok Head_Hunter ,0,0,40m ago ,2023-01-30,9455,2343,1063
*KAKI KENCING* Cai mcm mna pun xpe😂,@muhammad.e__,muhammad.e ,1,0,41m ago ,2023-01-30,9455,2343,1063
pop corn,@nuriyahsal,Nuriyah Sal ,0,0,45m ago ,2023-01-30,9455,2343,1063
pening ..,@mat.toya,mattoya_4469 ,1,0,45m ago ,2023-01-30,9455,2343,1063
"daa mula daa...ph memamg xleh pakai,mengelupoh dapat pegang kuasa",@zylanerahmat,zylanerahmat ,3,0,46m ago ,2023-01-30,9455,2343,1063
semua org buat kesilapan tapi mn yg salah kita tegur n bersuara,@pedashhhhhhhhhh,cooller🧊 ,0,0,47m ago ,2023-01-30,9455,2343,1063
