comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_likes,video_comments,video_shared
Saya first time mengundi dan saya akan sokong PH!,@motivasihidup7_,Motivasi Hidup ♥️ ,0,0,2022-11-9,2023-01-30,10.8K,298,270
ermmmmmmm😏,@nursara83,nursara83 ,0,0,2022-11-9,2023-01-30,10.8K,298,270
chipsmore,@andort_7756,Andort_7756 ,0,0,2022-11-9,2023-01-30,10.8K,298,270
"sbelum ni x fyp pon , time pru baru nk fyp😂😂",@ayeef__,ayeef__ ,0,0,2022-11-8,2023-01-30,10.8K,298,270
cukup2lah...aada kuasa diam membisu...dap yg bnyak kucar kacirkan aset negara,@bayanganserikandi,fendiofficial@89 ,0,0,2022-11-8,2023-01-30,10.8K,298,270
dan dan nampak muka😂,@wz.boyzcorner,sibongsu ,0,0,2022-11-8,2023-01-30,10.8K,298,270
Nurul pm,@kh_5201314,KH_5201314 ,0,0,2022-11-5,2023-01-30,10.8K,298,270
semua main.lpas ngundi.hampehhhh,@umminadia44,gienazz ,0,0,2022-11-5,2023-01-30,10.8K,298,270
dan3 main 🏸🏸,@pokokdekkau5,PokokDekKau ,0,0,2022-11-4,2023-01-30,10.8K,298,270
Nurul Izzah for PM,@offstonecol,Offstonecold ,0,0,2022-11-3,2023-01-30,10.8K,298,270
Parti anak beranak 😂,@wanceoremix,BG1Shop ,0,0,2022-11-3,2023-01-30,10.8K,298,270
untuk sempati hati rayat.. hhahahah,@fiswanbridalhouse,fiswanbridalhouse ,0,0,2022-11-3,2023-01-30,10.8K,298,270
alhamdulilah org hilang dah jumpa balik,@pojoi7,Legolas ,0,0,2022-11-3,2023-01-30,10.8K,298,270
"Ceh, first time turun dan nampak muka 😂",@leexla85,Zan Li ,0,0,2022-11-3,2023-01-30,10.8K,298,270
napa pkai bju kurung tu main nurul,@sapehiepiee,Joe ,0,0,2022-11-2,2023-01-30,10.8K,298,270
hahaha nampak sgt masa nk mengundi ja,@sufiansyariman,Sufian Syariman ,0,0,2022-11-2,2023-01-30,10.8K,298,270
baru nmpk aihhh..,@mohdshukribinnord,Mohd_Shukri ,0,0,2022-11-2,2023-01-30,10.8K,298,270
pakai seluar sesuai,@tuah783,putera impian😘 ,0,0,2022-11-2,2023-01-30,10.8K,298,270
jdi la. .5 taon skli,@jimy80_,jimy80_ ,0,0,2022-11-2,2023-01-30,10.8K,298,270
can she be pm please?,@jonzwikk,Jonz Wikk ,0,0,2022-11-2,2023-01-30,10.8K,298,270
"kami tolak kronime, kami cuma sekeluarga",@oppouserhebat,oppouserhebat ,0,0,2022-11-2,2023-01-30,10.8K,298,270
ni yg buat abg noon geram,@zamzureen30,zamzureen30... ,0,0,2022-11-2,2023-01-30,10.8K,298,270
terbaik yb🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰,@edgar72724,edgar72724 ,1,0,2022-11-1,2023-01-30,10.8K,298,270
parti anak beranak... cukup2 la 22bulan,@aziamarzuki,Mohd_Marzuki ,0,0,2022-10-28,2023-01-30,10.8K,298,270
"hurrmmm..tang mntak undi,pakat sume la ahli politik tibe nmpk muke..bdminton lah,kutip smpah lah,ape lah..😂😂",@manlalalitamplom,ManLaLaLitamPlom ,1,0,2022-10-26,2023-01-30,10.8K,298,270
pH terbaik,@santhuru39,Chandru ,1,0,2022-10-25,2023-01-30,10.8K,298,270
Pandai kak ketuk,@mohdshukri7181,mohdshukri7181 ,0,0,2022-10-25,2023-01-30,10.8K,298,270
YB IDAMAN ni lau lahh bertanding kt selangor 🥰,@naimshamsuddin,Naim Shamsuddin ,0,0,2022-10-25,2023-01-30,10.8K,298,270
msk ampang org buang dia jauh2 ....,@abgmarket,abgmarket ,1,0,2022-10-25,2023-01-30,10.8K,298,270
"bila PRU dh dekat, tak pernah main, apa pun bolh main😂😂😂",@dinsepet7,dinsepet7 ,0,0,2022-10-25,2023-01-30,10.8K,298,270
ahli2 politik .NK ngundi semua blh buat...X kire parti mane pun..mtk tolong basuh berak pun sanggup..NK raih undi py psl...,@norgiriyie,yie yie ,0,0,2022-10-25,2023-01-30,10.8K,298,270
Macam Olympic…4 tahun sekali baru jumpa muka🤪,@kamalmenang,Kamalah ,0,0,2022-10-25,2023-01-30,10.8K,298,270
esok menang hilang..org kampong tercari cari😂😂,@j0oe74,Joe469 ,0,0,2022-10-24,2023-01-30,10.8K,298,270
pulun .kain pun jd ..politik punya pasai,@mohdshukriabdulrazak,Mohd Shukri Abdul Ra ,0,0,2022-10-24,2023-01-30,10.8K,298,270
hahahha anak bapak mcm2 boleh jdi hahaa,@kelvintan457,kelvin tan 6055 ,0,0,2022-10-24,2023-01-30,10.8K,298,270
mcm2 ragam wakil rakyat..😁😁😁,@arerap859,AreRap ,0,0,2022-10-24,2023-01-30,10.8K,298,270
mcm2 ade..wkwkwk.pas tu..hilang..🤣🤣🤣,@user794263639478,user794263639478 ,0,0,2022-10-24,2023-01-30,10.8K,298,270
YB paling comel🥰future PM Wanita Pertama,@iftinour,CEO of ex Banker❤🌹🦋🍰🍫 ,1,0,2022-10-24,2023-01-30,10.8K,298,270
hancing,@suhaimihashimmiek,Suhaimi Hashim Mie Kaput ,0,0,2022-10-24,2023-01-30,10.8K,298,270
aku bukan x suka pkr tapi aku x suka dap...aku nak sgt dia ni jadi pm msia,@jdrea71,JD REA ,0,0,2022-10-24,2023-01-30,10.8K,298,270
